id	countryCode	occurrenceStatus	establishmentMeans
37261	PT	Present	Alien
37262	PT	Present	Alien
37263	PT	Present	Alien
37264	PT	Present	Alien
37265	PT	Present	Alien
37266	PT	Present	Alien
37267	PT	Present	Alien
37268	PT	Present	Alien
37269	PT	Present	Alien
37270	PT	Present	Alien
37271	PT	Present	Alien
37272	PT	Present	Alien
37273	PT	Present	Alien
37274	PT	Present	Alien
37275	PT	Present	Alien
37276	PT	Present	Alien
37277	PT	Present	Alien
37278	PT	Present	Alien
37279	PT	Present	Alien
37280	PT	Present	Alien
37281	PT	Present	Alien
37282	PT	Present	Alien
37283	PT	Present	Alien
37284	PT	Present	Alien
37285	PT	Present	Alien
37286	PT	Present	Alien
37287	PT	Present	Alien
37288	PT	Present	Alien
37289	PT	Present	Alien
37290	PT	Present	Alien
37291	PT	Present	Alien
37292	PT	Present	Alien
37293	PT	Present	Alien
37294	PT	Present	Alien
37295	PT	Present	Alien
37296	PT	Present	Alien
37297	PT	Present	Alien
37298	PT	Present	Alien
37299	PT	Present	Alien
37300	PT	Present	Alien
37301	PT	Present	Alien
37302	PT	Present	Alien
37303	PT	Present	Alien
37304	PT	Present	Alien
37305	PT	Present	Alien
37306	PT	Present	Alien
37307	PT	Present	Alien
37308	PT	Present	Alien
37309	PT	Present	Alien
37310	PT	Present	Alien
37311	PT	Present	Cryptogenic|Uncertain
37312	PT	Present	Alien
37313	PT	Present	Alien
37314	PT	Present	Alien
37315	PT	Present	Alien
37316	PT	Present	Alien
37317	PT	Present	Alien
37318	PT	Present	Alien
37319	PT	Present	Alien
37320	PT	Present	Alien
37321	PT	Present	Alien
37322	PT	Present	Alien
37323	PT	Present	Alien
37324	PT	Present	Alien
37325	PT	Present	Alien
37326	PT	Present	Alien
37327	PT	Present	Alien
37328	PT	Present	Alien
37329	PT	Present	Alien
37330	PT	Present	Alien
37331	PT	Present	Alien
37332	PT	Present	Alien
37333	PT	Present	Alien
37334	PT	Present	Alien
37335	PT	Present	Alien
37336	PT	Present	Alien
37337	PT	Present	Alien
37338	PT	Present	Alien
37339	PT	Present	Alien
37340	PT	Present	Alien
37341	PT	Present	Alien
37342	PT	Present	Alien
37343	PT	Present	Alien
37344	PT	Present	Alien
37345	PT	Present	Alien
37346	PT	Present	Alien
37347	PT	Present	Alien
37348	PT	Present	Alien
37349	PT	Present	Alien
37350	PT	Present	Alien
37351	PT	Present	Alien
37352	PT	Present	Alien
37353	PT	Present	Alien
37354	PT	Present	Alien
37355	PT	Present	Alien
37356	PT	Present	Alien
37357	PT	Present	Alien
37358	PT	Present	Alien
37359	PT	Present	Alien
37360	PT	Present	Alien
37361	PT	Present	Alien
37362	PT	Present	Alien
37363	PT	Present	Alien
37364	PT	Present	Alien
37365	PT	Present	Alien
37366	PT	Present	Alien
37367	PT	Present	Alien
37368	PT	Present	Alien
37369	PT	Present	Alien
37370	PT	Present	Alien
37371	PT	Present	Alien
37372	PT	Present	Alien
37373	PT	Present	Alien
37374	PT	Present	Alien
37375	PT	Present	Alien
37376	PT	Present	Alien
37377	PT	Present	Alien
37378	PT	Present	Alien
37379	PT	Present	Alien
37380	PT	Present	Alien
37381	PT	Present	Alien
37382	PT	Present	Alien
37383	PT	Present	Alien
37384	PT	Present	Alien
37385	PT	Present	Alien
37386	PT	Present	Alien
37387	PT	Present	Alien
37388	PT	Present	Alien
37389	PT	Present	Alien
37390	PT	Present	Alien
37391	PT	Present	Alien
37392	PT	Present	Alien
37393	PT	Present	Alien
37394	PT	Present	Alien
37395	PT	Present	Alien
37396	PT	Present	Alien
37397	PT	Present	Alien
37398	PT	Present	Alien
37399	PT	Present	Alien
37400	PT	Present	Alien
37401	PT	Present	Alien
37402	PT	Present	Alien
37403	PT	Present	Alien
37404	PT	Present	Alien
37405	PT	Present	Alien
37406	PT	Present	Alien
37407	PT	Present	Alien
37408	PT	Present	Alien
37409	PT	Present	Alien
37410	PT	Present	Alien
37411	PT	Present	Alien
37412	PT	Present	Alien
37413	PT	Present	Alien
37414	PT	Present	Alien
37415	PT	Present	Alien
37416	PT	Present	Alien
37417	PT	Present	Alien
37418	PT	Present	Alien
37419	PT	Present	Alien
37420	PT	Present	Alien
37421	PT	Present	Alien
37422	PT	Present	Alien
37423	PT	Present	Alien
37424	PT	Present	Alien
37425	PT	Present	Alien
37426	PT	Present	Alien
37427	PT	Present	Alien
37428	PT	Present	Alien
37429	PT	Present	Alien
37430	PT	Present	Alien
37431	PT	Present	Alien
37432	PT	Present	Alien
37433	PT	Present	Alien
37434	PT	Present	Alien
37435	PT	Present	Alien
37436	PT	Present	Alien
37437	PT	Present	Alien
37438	PT	Present	Alien
37439	PT	Present	Alien
37440	PT	Present	Alien
37441	PT	Present	Alien
37442	PT	Present	Alien
37443	PT	Present	Alien
37444	PT	Present	Alien
37445	PT	Present	Alien
37446	PT	Present	Alien
37447	PT	Present	Alien
37448	PT	Present	Alien
37449	PT	Present	Alien
37450	PT	Present	Alien
37451	PT	Present	Alien
37452	PT	Present	Alien
37453	PT	Present	Alien
37454	PT	Present	Alien
37455	PT	Present	Alien
37456	PT	Present	Alien
37457	PT	Present	Alien
37458	PT	Present	Alien
37459	PT	Present	Alien
37460	PT	Present	Alien
37461	PT	Present	Alien
37462	PT	Present	Alien
37463	PT	Present	Alien
37464	PT	Present	Alien
37465	PT	Present	Alien
37466	PT	Present	Alien
37467	PT	Present	Alien
37468	PT	Present	Alien
37469	PT	Present	Alien
37470	PT	Present	Alien
37471	PT	Present	Alien
37472	PT	Present	Alien
37473	PT	Present	Alien
37474	PT	Present	Alien
37475	PT	Present	Alien
37476	PT	Present	Alien
37477	PT	Present	Alien
37478	PT	Present	Alien
37479	PT	Present	Alien
37480	PT	Present	Alien
37481	PT	Present	Alien
37482	PT	Present	Alien
37483	PT	Present	Alien
37484	PT	Present	Alien
37485	PT	Present	Alien
37486	PT	Present	Alien
37487	PT	Present	Alien
37488	PT	Present	Alien
37489	PT	Present	Alien
37490	PT	Present	Alien
37491	PT	Present	Alien
37492	PT	Present	Alien
37493	PT	Present	Alien
37494	PT	Present	Alien
37495	PT	Present	Alien
37496	PT	Present	Alien
37497	PT	Present	Alien
37498	PT	Present	Alien
37499	PT	Present	Alien
37500	PT	Present	Alien
37501	PT	Present	Alien
37502	PT	Present	Alien
37503	PT	Present	Alien
37504	PT	Present	Alien
37505	PT	Present	Alien
37506	PT	Present	Alien
37507	PT	Present	Alien
37508	PT	Present	Alien
37509	PT	Present	Alien
37510	PT	Present	Alien
37511	PT	Present	Alien
37512	PT	Present	Alien
37513	PT	Present	Alien
37514	PT	Present	Alien
37515	PT	Present	Alien
37516	PT	Present	Alien
37517	PT	Present	Alien
37518	PT	Present	Alien
37519	PT	Present	Alien
37520	PT	Present	Alien
37521	PT	Present	Alien
37522	PT	Present	Alien
37523	PT	Present	Alien
37524	PT	Present	Alien
37525	PT	Present	Alien
37526	PT	Present	Alien
37527	PT	Present	Alien
37528	PT	Present	Alien
37529	PT	Present	Alien
37530	PT	Present	Alien
37531	PT	Present	Alien
37532	PT	Present	Alien
37533	PT	Present	Alien
37534	PT	Present	Alien
37535	PT	Present	Alien
37536	PT	Present	Alien
37537	PT	Present	Alien
37538	PT	Present	Alien
37539	PT	Present	Alien
37540	PT	Present	Alien
37541	PT	Present	Alien
37542	PT	Present	Alien
37543	PT	Present	Alien
37544	PT	Present	Alien
37545	PT	Present	Alien
37546	PT	Present	Alien
37547	PT	Present	Alien
37548	PT	Present	Alien
37549	PT	Present	Alien
37550	PT	Present	Alien
37551	PT	Present	Alien
37552	PT	Present	Alien
37553	PT	Present	Alien
37554	PT	Present	Alien
37555	PT	Present	Alien
37556	PT	Present	Alien
37557	PT	Present	Alien
37558	PT	Present	Alien
37559	PT	Present	Alien
37560	PT	Present	Alien
37561	PT	Present	Alien
37562	PT	Present	Alien
37563	PT	Present	Alien
37564	PT	Present	Alien
37565	PT	Present	Alien
37566	PT	Present	Alien
37567	PT	Present	Alien
37568	PT	Present	Alien
37569	PT	Present	Alien
37570	PT	Present	Alien
37571	PT	Present	Alien
37572	PT	Present	Alien
37573	PT	Present	Alien
37574	PT	Present	Alien
37575	PT	Present	Alien
37576	PT	Present	Alien
37577	PT	Present	Alien
37578	PT	Present	Alien
37579	PT	Present	Alien
37580	PT	Present	Alien
37581	PT	Present	Alien
37582	PT	Present	Alien
37583	PT	Present	Alien
37584	PT	Present	Alien
37585	PT	Present	Alien
37586	PT	Present	Alien
37587	PT	Present	Alien
37588	PT	Present	Alien
37589	PT	Present	Alien
37590	PT	Present	Alien
37591	PT	Present	Alien
37592	PT	Present	Alien
37593	PT	Present	Alien
37594	PT	Present	Alien
37595	PT	Present	Alien
37596	PT	Present	Alien
37597	PT	Present	Alien
37598	PT	Present	Alien
37599	PT	Present	Alien
37600	PT	Present	Alien
37601	PT	Present	Alien
37602	PT	Present	Alien
37603	PT	Present	Alien
37604	PT	Present	Alien
37605	PT	Present	Alien
37606	PT	Present	Alien
37607	PT	Present	Alien
37608	PT	Present	Alien
37609	PT	Present	Alien
37610	PT	Present	Alien
37611	PT	Present	Alien
37612	PT	Present	Alien
37613	PT	Present	Alien
37614	PT	Present	Alien
37615	PT	Present	Alien
37616	PT	Present	Alien
37617	PT	Present	Alien
37618	PT	Present	Alien
37619	PT	Present	Alien
37620	PT	Present	Alien
37621	PT	Present	Alien
37622	PT	Present	Alien
37623	PT	Present	Alien
37624	PT	Present	Alien
37625	PT	Present	Alien
37626	PT	Present	Alien
37627	PT	Present	Alien
37628	PT	Present	Alien
37629	PT	Present	Alien
37630	PT	Present	Alien
37631	PT	Present	Alien
37632	PT	Present	Alien
37633	PT	Present	Alien
37634	PT	Present	Alien
37635	PT	Present	Alien
37636	PT	Present	Alien
37637	PT	Present	Alien
37638	PT	Present	Alien
37639	PT	Present	Alien
37640	PT	Present	Alien
37641	PT	Present	Alien
37642	PT	Present	Alien
37643	PT	Present	Alien
37644	PT	Present	Alien
37645	PT	Present	Alien
37646	PT	Present	Alien
37647	PT	Present	Alien
37648	PT	Present	Alien
37649	PT	Present	Alien
37650	PT	Present	Alien
37651	PT	Present	Alien
37652	PT	Present	Alien
37653	PT	Present	Alien
37654	PT	Present	Alien
37655	PT	Present	Alien
37656	PT	Present	Alien
37657	PT	Present	Alien
37658	PT	Present	Alien
37659	PT	Present	Alien
37660	PT	Present	Alien
37661	PT	Present	Alien
37662	PT	Present	Alien
37663	PT	Present	Alien
37664	PT	Present	Alien
37665	PT	Present	Alien
37666	PT	Present	Alien
37667	PT	Present	Alien
37668	PT	Present	Alien
37669	PT	Present	Alien
37670	PT	Present	Alien
37671	PT	Present	Alien
37672	PT	Present	Alien
37673	PT	Present	Alien
37674	PT	Present	Alien
37675	PT	Present	Alien
37676	PT	Present	Alien
37677	PT	Present	Alien
37678	PT	Present	Alien
37679	PT	Present	Alien
37680	PT	Present	Alien
37681	PT	Present	Alien
37682	PT	Present	Alien
37683	PT	Present	Alien
37684	PT	Present	Alien
37685	PT	Present	Alien
37686	PT	Present	Alien
37687	PT	Present	Alien
37688	PT	Present	Alien
37689	PT	Present	Alien
37690	PT	Present	Alien
37691	PT	Present	Alien
37692	PT	Present	Alien
37693	PT	Present	Alien
37694	PT	Present	Alien
37695	PT	Present	Alien
37696	PT	Present	Alien
37697	PT	Present	Alien
37698	PT	Present	Alien
37699	PT	Present	Alien
37700	PT	Present	Alien
37701	PT	Present	Alien
37702	PT	Present	Alien
37703	PT	Present	Alien
37704	PT	Present	Alien
37705	PT	Present	Alien
37706	PT	Present	Alien
37707	PT	Present	Alien
37708	PT	Present	Alien
37709	PT	Present	Alien
37710	PT	Present	Alien
37711	PT	Present	Alien
37712	PT	Present	Alien
37713	PT	Present	Alien
37714	PT	Present	Alien
37715	PT	Present	Alien
37716	PT	Present	Alien
37717	PT	Present	Alien
37718	PT	Present	Alien
37719	PT	Present	Alien
37720	PT	Present	Alien
37721	PT	Present	Alien
37722	PT	Present	Alien
37723	PT	Present	Alien
37724	PT	Present	Alien
37725	PT	Present	Alien
37726	PT	Present	Alien
37727	PT	Present	Alien
37728	PT	Present	Alien
37729	PT	Present	Alien
37730	PT	Present	Alien
37731	PT	Present	Alien
37732	PT	Present	Alien
37733	PT	Present	Alien
37734	PT	Present	Alien
37735	PT	Present	Alien
37736	PT	Present	Alien
37737	PT	Present	Alien
37738	PT	Present	Alien
37739	PT	Present	Alien
37740	PT	Present	Alien
37741	PT	Present	Alien
37742	PT	Present	Alien
37743	PT	Present	Alien
37744	PT	Present	Alien
37745	PT	Present	Alien
37746	PT	Present	Alien
37747	PT	Present	Alien
37748	PT	Present	Alien
37749	PT	Present	Alien
37750	PT	Present	Alien
37751	PT	Present	Alien
37752	PT	Present	Alien
37753	PT	Present	Alien
37754	PT	Present	Alien
37755	PT	Present	Alien
37756	PT	Present	Alien
37757	PT	Present	Alien
37758	PT	Present	Alien
37759	PT	Present	Alien
37760	PT	Present	Alien
37761	PT	Present	Alien
37762	PT	Present	Alien
37763	PT	Present	Alien
37764	PT	Present	Alien
37765	PT	Present	Alien
37766	PT	Present	Alien
37767	PT	Present	Alien
37768	PT	Present	Alien
37769	PT	Present	Alien
37770	PT	Present	Alien
37771	PT	Present	Alien
37772	PT	Present	Alien
37773	PT	Present	Alien
37774	PT	Present	Alien
37775	PT	Present	Alien
37776	PT	Present	Alien
37777	PT	Present	Alien
37778	PT	Present	Alien
37779	PT	Present	Alien
37780	PT	Present	Alien
37781	PT	Present	Alien
37782	PT	Present	Alien
37783	PT	Present	Alien
37784	PT	Present	Alien
37785	PT	Present	Alien
37786	PT	Present	Alien
37787	PT	Present	Alien
37788	PT	Present	Alien
37789	PT	Present	Alien
37790	PT	Present	Alien
37791	PT	Present	Alien
37792	PT	Present	Alien
37793	PT	Present	Alien
37794	PT	Present	Alien
37795	PT	Present	Alien
37796	PT	Present	Alien
37797	PT	Present	Alien
37798	PT	Present	Alien
37799	PT	Present	Alien
37800	PT	Present	Alien
37801	PT	Present	Alien
37802	PT	Present	Alien
37803	PT	Present	Alien
37804	PT	Present	Alien
37805	PT	Present	Alien
37806	PT	Present	Alien
37807	PT	Present	Alien
37808	PT	Present	Alien
37809	PT	Present	Alien
37810	PT	Present	Alien
37811	PT	Present	Alien
37812	PT	Present	Alien
37813	PT	Present	Alien
37814	PT	Present	Alien
37815	PT	Present	Alien
37816	PT	Present	Alien
37817	PT	Present	Alien
37818	PT	Present	Alien
37819	PT	Present	Alien
37820	PT	Present	Alien
37821	PT	Present	Alien
37822	PT	Present	Alien
37823	PT	Present	Alien
37824	PT	Present	Alien
37825	PT	Present	Alien
37826	PT	Present	Alien
37827	PT	Present	Alien
37828	PT	Present	Alien
37829	PT	Present	Alien
37830	PT	Present	Alien
37831	PT	Present	Alien
37832	PT	Present	Alien
37833	PT	Present	Alien
37834	PT	Present	Alien
37835	PT	Present	Alien
37836	PT	Present	Alien
37837	PT	Present	Alien
37838	PT	Present	Alien
37839	PT	Present	Alien
37840	PT	Present	Alien
37841	PT	Present	Alien
37842	PT	Present	Alien
37843	PT	Present	Alien
37844	PT	Present	Alien
37845	PT	Present	Alien
37846	PT	Present	Alien
37847	PT	Present	Alien
37848	PT	Present	Alien
37849	PT	Present	Alien
37850	PT	Present	Alien
37851	PT	Present	Alien
37852	PT	Present	Alien
37853	PT	Present	Alien
37854	PT	Present	Alien
37855	PT	Present	Alien
37856	PT	Present	Alien
37857	PT	Present	Alien
37858	PT	Present	Alien
37859	PT	Present	Alien
37860	PT	Present	Alien
37861	PT	Present	Alien
37862	PT	Present	Cryptogenic|Uncertain
37863	PT	Present	Alien
37864	PT	Present	Alien
37865	PT	Present	Alien
37866	PT	Present	Alien
37867	PT	Present	Alien
37868	PT	Present	Alien
37869	PT	Present	Alien
37870	PT	Present	Alien
37871	PT	Present	Alien
37872	PT	Present	Alien
37873	PT	Present	Alien
37874	PT	Present	Alien
37875	PT	Present	Alien
37876	PT	Present	Alien
37877	PT	Present	Alien
37878	PT	Present	Alien
37879	PT	Present	Alien
37880	PT	Present	Alien
37881	PT	Present	Alien
37882	PT	Present	Alien
37883	PT	Present	Alien
37884	PT	Present	Alien
37885	PT	Present	Alien
37886	PT	Present	Alien
37887	PT	Present	Alien
37888	PT	Present	Alien
37889	PT	Present	Alien
37890	PT	Present	Alien
37891	PT	Present	Alien
37892	PT	Present	Alien
37893	PT	Present	Alien
37894	PT	Present	Alien
37895	PT	Present	Alien
37896	PT	Present	Alien
37897	PT	Present	Alien
37898	PT	Present	Alien
37899	PT	Present	Alien
37900	PT	Present	Alien
37901	PT	Present	Alien
37902	PT	Present	Alien
